#s	hn	av	tn	taivutus
alkutekijä				
alkuteksti				
alkuteos				
alkutiivistelmä				
alkutilanne				
alkutuotanto				
alkutyöttömyys				
alkuun			99	
alkuunkaan			99	
alkuunlähtö				
alkuunpanija				
alkuunpano				
alkuunpääsy				
alkuvaihe				
alkuvaikeudet				
alkuvalmistelu				
alkuvauhti				
alkuviikko				
alkuvoima				
alkuvoimainen				
alkuvoimaisuus				
alkuvuosi				
alkuvuosikymmen				
alkuväestö				
alkuyö				
alkydi			5	
alkydimaali			5	
alla			99	
allakka		A	14	
alla mainittu		C	1	
alla oleva				
allapäin				
allas		I	41	
allaskaappi				
allaskatto				
allastaa			53	
allastelakka				
allatiivi			5	
alle			99	
alleeli			5	
allegoria			12	
allegorinen			38	
allegorisesti			99	
allegorisuus			40	
allegretto			1	h
allegro			1	h
allekirjoittaa				
allekirjoittaja				
allekirjoittanut			47	
allekirjoitus				
allekkain			99	
allekkainen			38	
allergeeni			5	
allergeeninen			38	
allergeenisuus			40	
allergia			12	
allergiareaktio				
allergiasaneeraus				
allergikko		A	4	
allerginen			38	
allergisoida			62	
allergisoitua		F	52	
allergistaa			53	
allergistua			52	
allergisuus			40	
alletusten			99	
alleviivata				
alleviivaus				
alli	1		5	
alli	2		5	
allianssi			5	
alligaattori			6	
allikko		A	4	
allitteraatio			3	
allokaatio			3	
allokoida			62	
allokointi		J	5	
all stars -joukkue				
almanakka		A	9	
almu			1	
aloillaan			99	
aloilleen			99	
aloite		C	48	
aloitekyky				
aloitekykyinen				
aloitekyvyttömyys				
aloitekyvytön				
aloitella		C	67	
aloiteoikeus				
aloittaa		C	53	
aloittain			99	
aloittainen			38	
aloittaja			10	
aloittamaton		C	34	
aloitteellinen			38	
aloitteellisuus			40	
aloitteentekijä				
aloitteenteko				
aloitteikas		A	41	
-aloitteinen			38	
aloittelija			12	
aloitus			39	
aloituskorkeus				
aloitusmerkki				
aloituspaikka				
aloitussyöttö				
aloitusviisikko				
alokas		A	41	
alokasaika		D	9	
alokasaste				
alokasmainen			38	
aloke		A	48	
alpakka	1	A	14	
alpakka	2	A	14	
alpakkainen	1		38	
alpakkainen	2		38	
alpakkalusikka				
alpi		E	7	
alpiininen			38	
alpinismi			5	
alpinisti			5	
alppi		B	5	
alppihiihto				
alppihiihtäjä				
alppijärvi				
alppikiipeily				
alppilaakso				
alppilaji				
alppimaisema				
alppimaja				
alppiruusu				
alppiseutu				
alppitähti				
alppiyhdistetty				
alsikeapila				
alta			99	
altapäin				
altavastaaja				
alter ego				
altis		C	41	
altistaa			53	
altiste			48	
altisti			5	
altistua			52	
altistus			39	
altistusaika		D	9	
altistuskoe				
altruismi			5	
altruisti			5	
altruistinen			38	
altruistisesti			99	
alttari			6	
alttarikaide				
alttarikehä				
alttariliina				
alttaripalvelus				
alttaripöytä				
alttaritaulu				
alttariteos				
alttaritoimitus				
alttarivaate				
alttiisti			99	
alttius			40	
altto		C	1	
alttolaulajatar				
alttosaksofoni				
alttoviulu				
alttoääni				
alue			48	
alueellinen			38	
alueellisesti			99	
aluehallinto				
aluehälytyskeskus				
-alueinen			38	
alueittain			99	
alueittainen			38	
aluejako				
aluejärjestö				
aluekeskus				
aluelaajennus				
aluelehti				
alueliitos				
alueloukkaus				
alueluovutus				
aluemenetys				
aluemeri				
aluemetsänhoitaja				
alueministeri				
alueohjelma				
alueorkesteri				
aluepoliittinen				
aluepolitiikka				
aluepäällikkö				
alueradio				
alueraja			9	
aluerakentaminen				
aluesairaala				
aluesuunnittelu				
alueteatteri				
aluetoimittaja				
aluetoimitus				
aluevaatimus				
aluevaltaus				
aluevaltuusto				
aluevalvoja				
aluevesi				
aluevesiraja			9	
aluke		A	48	
aluksi			99	
alulla			99	
alullaan			99	
alullepanija				
alullepano				
alumiini			5	
alumiinifolio				
alumiinikattila				
alumiininen			38	
alumiinioksidi				
alumiinipaperi				
alumiiniseos				
alumiinivene				
alumiinivuoka				
aluminoida			62	
aluminointi		J	5	
alumpana			99	
alun			99	
aluna			13	
alunaliuos				
alun alkaen			99	
alunen			38	
alun perin			99	
alun pitäen			99	
alus			39	
alusastia				
alusasu				
alushame				
alushousut				
aluskasvillisuus				
aluslaatta				
aluslakana				
aluslanka				
aluslautanen				
aluslehti				
alusmaa				
aluspaita				
aluspiimä				
alusrimoitus				
alussa mainittu		C	1	
alusta			13	
alustaa			53	
alustaja			10	
alustalainen			38	
alustava			10	
alustavasti			99	
alustus			39	
alusvaate				
alusvaatekerta				
alusvaatteisillaan			99	
alusvaatteisilleen			99	
alusvesi				
alusviikko				
alusvoide				
alvariinsa			99	
alvejuuri			26	
amalgaami			5	
amalgaamipaikka				
amanuenssi			5	
amaryllis			39	
amatsoni			5	
amatööri			5	
amatöörinoikeus				
amatöörinäyttelijä				
amatööriorkesteri				
amatööriottelu				
amatööriurheilija				
amatööriurheilu				
amatööriys			40	
ambiofonia			12	
ambiofoninen			38	
ambitio			3	
ambitiokysymys				
ambivalenssi			5	
ambivalentti		C	5	
ambivalenttinen			38	
ambra			9	
ambrosia			12	
ambulanssi			5	
ambulanssilentokone				
ameba			9	
amenorrea			12	
amerikanenglanti				
amerikanrauta				
amerikansalaatti				
amerikansuomalainen				
amerikansuomi				
amerikkalainen			38	
amerikkalaistua			52	
amerikkalaisuus			40	
ametisti			5	
amfetamiini			5	
amfibioajoneuvo				
amfibiolentokone				
amfibiopanssarivaunu				
amfiteatteri				
amfora			10	
aminohappo				
amiraali			5	
ammateittain			99	
ammateittainen			38	
ammatillinen			38	
ammatillisesti			99	
ammatillistaa			53	
ammatillistua			52	
ammatillisuus			40	
ammatinharjoitus				
ammatinkuva				
ammatinopettaja				
ammatinvalinnanohjaaja				
ammatinvalinnanohjaus				
ammatinvalinta				
ammatti		C	5	
ammatti-				
ammattiaine				
ammattiajokortti				
ammattiala				
ammattiapu				
ammattiautoilija				
ammattiauttaja				
ammattietiikka				
ammattihaureus				
ammatti-ihminen				
ammattijulkaisu				
ammattijärjestö				
ammattikalastaja				
ammattikasvatus				
ammattikateus				
ammattikieli				
ammattikirjailija				
ammattikirjallisuus				
ammattikokemus				
ammattikorkeakoulu				
ammattikoulu				
ammattikoululainen				
ammattikoulunopettaja				
ammattikoulutus				
ammattikunnia				
ammattikunta				
ammattikuntalaitos				
ammattikurssi				
ammattikurssikeskus				
ammattikuva				
ammattilainen			38	
ammattilaisjoukkue				
ammattilaisottelu				
ammattilaissopimus				
ammattilaistaa			53	
ammattilaistua			52	
ammattilaisurheilija				
ammattilaisurheilu				
ammattilaisuus			40	
ammattilehti				
ammattiliikenne				
ammattiliitto				
ammattimainen			38	
ammattimaisesti			99	
ammattimaisuus			40	
ammattimies				
ammattiministeri				
ammattimuusikko				
ammattinimike				
ammattinyrkkeilijä				
ammattinyrkkeily				
ammattiopetus				
ammattiopinnot				
ammattioppilaitos				
ammattioppilas				
ammattioppilaslautakunta				
ammattiosasto				
ammattipoliitikko				
ammattipätevyys				
ammattirikollinen				
ammattisalaisuus				
ammattisana				
ammattisanasto				
ammattislangi				
ammattisotilas				
ammattisuoja			10	
ammattitaidoton				
ammattitaito				
ammattitaitoinen				
ammattitappaja				
ammattitauti				
ammattitermi				
ammattitoveri				
ammattitulo				
ammattitutkinto				
ammattityö				
ammattityöntekijä				
ammattityöväki				
ammattiurheilija				
ammattiurheilu				
ammattiyhdistys				
ammattiyhdistysliike				
ammattiyhdistystoiminta				
ammattiylpeys				
amme			48	
ammekylpy				
ammematto				
ammennus			39	
ammentaa		J	54	
ammis			39	
ammoin			99	
ammoinen			38	
ammolla			99	
ammollaan			99	
ammolle			99	
ammolleen			99	
ammoniakki		A	5	
ammoniumkloridi			5	
ammottaa		C	53	
ammu			1	
ammua			52	
ammunta	1	J	9	
ammunta	2	J	9	
ammus			39	
ammuskelija			12	
ammuskella			67	
ammuskelu			2	
ammustenkulutus				
ammustäydennys				
ammusvarasto				
ammuttaa		C	53	
ammuu			99	
amnesia			12	
amnestia			12	
amok			5	
amokjuoksija				
amokjuoksu				
amorfinen			38	
amorfisuus			40	
amoriini			5	
amorinkaari				
ampaista			66	
ampeeri			6	
ampeerimittari				
ampiainen			38	
ampiaispesä				
ampiaisvyötärö				
amplitudi			5	
amplitudimodulaatio				
amppeli			6	
amppelikasvi				
ampu			1	h
ampua		H	52	
ampuhaukka				
ampuilla			67	
ampuja			10	
ampulli			5	
ampuma-ala				
ampuma-ase				
ampuma-asento				
ampuma-aukko				
ampumaetäisyys				
ampumahaava			9	
ampumaharjoitus				
ampumahiihto				
ampumakilpailu				
ampumakunto				
ampumaleiri				
ampumalinja				
ampumaoppi				
ampumarata				
ampumatarkkuus				
ampumatarvike				
ampumatarviketäydennys				
ampumaurheilu				
amputaatio			3	
amputoida			62	
amputointi		J	5	
amuletti		C	5	
anaalinen			38	
anaboli			5	
anabolinen			38	
anaerobinen			38	
anagrammi			5	
anakoluutti		C	5	
anakoluuttinen			38	
anakonda			10	
anakronismi			5	
anakronistinen			38	
anakronistisesti			99	
anakronistisuus			40	
analfabeetti		C	5	
analgeetti		C	5	
analgeettinen			38	
analgeettisesti			99	
analgeettisuus			40	
analgesia			12	
analogia			12	
analogia-digitaalimuunnin				
analogialaite				
analogianäyttö				
analogianäyttöinen				
analogiatekniikka				
analoginen			38	
analogisesti			99	
analogisuus			40	
analysaattori			6	
analysoida			62	
analysointi		J	5	
analytiikka		A	9	
analyysi			5	
analyytikko		A	4	
analyyttinen			38	
analyyttisesti			99	
analyyttisuus			40	
analyyttisyys			40	
anamneesi			5	
anamnestinen			38	
ananas			39	
ananaskasvi				
ananaskirsikka				
ananasmurska				
ananasrengas				
anarkia			12	
anarkismi			5	
anarkisti			5	
anarkistinen			38	
anarkistisesti			99	
anarkistisuus			40	
anastaa			53	
anastaja			10	
anastus			39	
anatomi			5	
anatomia			12	
anatominen			38	
anatomisesti			99	
ancyluskausi				
andante			8	h
andantino			1	h
androgeeni			5	
androgeeninen			38	
androgynia			12	
androgyyni			5	
androgyyninen			38	
andrologi			5	
andrologia			12	
androloginen			38	
andrologisesti			99	
ane			48	
aneeminen			38	
aneemisesti			99	
aneemisuus			40	
anekauppa				
anekdootti		C	5	
anella			67	
anemia			12	
aneroidibarometri				
aneroidi-ilmapuntari				
anesteetti		C	5	
anestesia			12	
anestesia-aine				
anestesialääkäri				
anestesiologi			5	
anestesiologia			12	
anestesiologinen			38	
anestesiologisesti			99	
aneurysma			9	
angervo			2	
angiina			13	
angiinamyrkytys				
angina pectoris			39	
angiografia			12	
anglikaaninen			38	
anglismi			5	
anglisti			5	
anglistiikka		A	9	
angloamerikkalainen				
anglosaksi			5	
anglosaksinen			38	
angora			12	
angorakaniini				
angorakissa				
angoralanka				
angorapusero				
angoravilla			9	
angoravuohi				
ani			99	
aniitti		C	5	
aniliini			5	
aniliininpunainen				
aniliiniväri				
animaalinen			38	
animaalisuus			40	
animaatio			3	
animaatioelokuva				
animismi			5	
animistinen			38	
anioni			5	
anis			39	
aniskaramelli				
anislikööri				
anispastilli				
anjovis			39	
ankanpoikanen				
ankara			10	
ankarasanainen				
ankarasti			99	
ankaruus			40	
ankea			15	
ankeasti			99	
ankerias			41	
ankeroinen			38	
ankeus			40	
ankka		A	9	
ankkalammikko				
ankkuri			6	
ankkurihissi				
ankkuriketju				
ankkuriköysi				
ankkurimiina				
ankkurinhaara				
ankkurinkoura				
ankkuriosuus				
ankkuripaikka				
ankkurivalo				
ankkuroida			62	
ankkurointi		J	5	
ankkuroitua		F	52	
annansilmä				
annella		J	67	
anniskella			67	
anniskelu			2	
anniskelukahvila				
anniskeluoikeus				
anniskeluravintola				
-annoksinen			38	
annoksittain			99	
annoona			10	
annos			39	
annosmittari				
annospala				
annostaa			53	
annostella			67	
annostelu			2	
annostelulokerikko				
annostelupumppu				
annostus			39	
annostusohje				
annuiteetti		C	5	
annuiteettilaina				
anoa			52	
anodi			5	
anoja			10	
anomaalinen			38	
anomaalisesti			99	
anomaalisuus			40	
anomalia			12	
anomus			39	
anomuskirjelmä				
anonymiteetti		C	5	
anonyymi			5	
anonyymius			40	
anonyymiys			40	
anopikset			39	
anopinkieli				
anoppi		B	5	
anoppila			12	
anoppimuori				
anorakki		A	5	
anoreksia			12	
anorektikko		A	4	
ansa			9	
ansainta		J	9	
ansaintateoria				
ansaintatulo				
ansaita			69	
ansaitsematon		C	34	
ansaitusti			99	
ansari			6	
ansarikukka				
ansaripetopunkki		A	5	
ansas			41	
ansatsi			5	
ansio			3	
ansioeläke				
ansioitua		F	52	
ansiokas		A	41	
ansiokehitys				
ansiokehitystakuu				
ansiokkaasti			99	
ansiokkuus			40	
ansiolentäjä				
ansioluettelo				
ansiolähde				
ansiomahdollisuus				
ansiomerkki				
ansiomitali				
ansionmenetys				
ansioristi				
ansiosidonnainen				
ansiosta			99	
ansiotakuu				
ansiotaso				
ansioton		C	34	
ansiottomasti			99	
ansiottomuus			40	
ansiotulo				
ansiotyö				
ansioäiti				
ansoittaa		C	53	
ansoitus			39	
antaa		J	56	
antagonismi			5	
antagonisti			5	
antagonistinen			38	
antaja			10	
antarktinen			38	
antasidi			5	
antaumuksellinen			38	
antaumuksellisesti			99	
antaumuksellisuus			40	
antaumus			39	
antautua		F	52	
anteeksi			99	
anteeksiannettava			10	
anteeksiantamaton		C	34	
anteeksiantamattomasti			99	
anteeksiantamattomuus			40	
anteeksiantamus			39	
anteeksiantava			10	
anteeksianto				
anteeksipyyntö				
anteliaasti			99	
anteliaisuus			40	
antelias			41	
antenni			6	
antennimasto				
antennivahvistin				
anti	1	J	5	
anti-	2			
antiaine				
antibiootti		C	5	
antibioottihoito				
antibioottinen			38	
antidepressiivi			5	
antigeeni			5	
antihistamiini				
antihiukkanen				
antiikki		A	5	
antiikkiesine				
antiikkihuonekalu				
antiikkikynttilä				
antiikkiliike				
antiikkinahka				
antiikkinen			38	
antiikva			9	
anti-inflammatorinen			38	
antikommunistinen				
antikristus			39	
antikvaarinen			38	
antikvariaatti		C	5	
antilooppi		B	5	
antilooppirotta				
antimateria				
antimet		J	33	
antimilitarismi				
antimilitaristi				
antimilitaristinen				
antimoni			5	
antioksidantti		C	5	
antipartikkeli				
antipasto			1	
antipatia			12	
antiperspirantti		C	5	
antisankari				
antisemiitti		C	5	
antisemiittinen			38	
antisemiittisesti			99	
antisemitismi			5	
antisepti			5	
antiseptinen			38	
antisosiaalinen				
antistaattinen				
antiteesi				
anto		J	1	
antoisa			10	
antoisasti			99	
antoisuus			40	
antolainaus				
antolainauskorko				
antologia			12	
antrasiitti		C	5	
antropologi			5	
antropologia			12	
antropologinen			38	
antropologisesti			99	
antroposofi			5	
antroposofia			12	
antura			12	
anturamaa				
anturanahka				
anturi			6	
A-oikeudet				
aortta		C	9	
apaattinen			38	
apaattisesti			99	
apaattisuus			40	
apaja			11	
apajapaikka				
aparaatti		C	5	
apartamento			1	
apartheid			5	
apartheidpolitiikka				
apassi			5	
apatia			12	
apatiitti		C	5	
ape		B	48	
apea			15	
apeasti			99	
apeissaan			99	
aperitiivi			5	
apeus			40	
apeutua		F	52	
apila			13	
apilaheinä				
apilaniitty				
apilankukka				
apilanlehti				
apilanurmi				
apilapelto				
apina			12	
apinaihminen				
apinalaatikko				
apinankukka				
apinanleipäpuu				
apinoida			62	
apinointi		J	5	
aplodeerata			73	
aplodeeraus			39	
aplodi			5	
apnea			12	
apokalypsi			5	
apokalyptinen			38	
apokryfi			5	
apokryfikirja				
apokryfinen			38	
apokryfisesti			99	
apokryfisuus			40	
apokryfisyys			40	
apolloperhonen				
apologeetta		C	9	
apologeettinen			38	
apologia			12	
apoptoosi			5	
apostoli			5	
apostolinen			38	
apostolinkyyti				
apotti		C	5	
appaa		B	56	
apparaatti		C	5	
appela			12	
appellatiivi			5	
appelsiini			5	
appelsiinimarmeladi				
appelsiinimehu				
appelsiininkuori			26	
appelsiinipuu				
appenzeller			6	
appenzellerjuusto				
appi		B	7	
appiukko				
appivanhemmat				
applikaatio			3	
applikoida			62	
applikointi		J	5	
apposen			99	
apposet			38	
appositio			3	
approbatur			6	
approbatur-arvosana				
approbaturtentti				
aprikoida			68	
aprikointi		J	5	
aprikoosi			5	
aprikoosipuu				
aprillata			73	
aprillaus			39	
aprilli			5	
aprillipila				
aprillipäivä				
a priori			99	
apriorinen			38	
apriorisesti			99	
apriorisuus			40	
apro			1	
apropoo			99	
apteekkari			6	
apteekki		A	5	
apteekkilaitos				
apteekkiliike				
apteekkineuvos				
apteekkioikeus				
apteekkitavara				
apu		E	1	
apuharvennus				
apuhoitaja				
apujoukko				
apukeino				
apukeittiö				
apukoulu				
apulainen			38	
apulais-				
apulaisjohtaja				
apulaiskaupunginjohtaja				
apulaislääkäri				
apulaisoikeusasiamies				
apulaisoikeuskansleri				
apulaisprofessori				
apulaispääsihteeri				
apulaistutkija				
apulannoite				
apulanta				
apumies				
apumoottori				
apuneuvo				
apupisto				
apuraha				
apurahasto				
apuri			6	
apusana				
aputaso				
aputyövoima				
apuverbi				
apuviiva				
apuvoima				
apuväline				
A-pylväs				
arabeski			5	
arabi			5	
arabia			12	
arabialainen			38	
arabianhevonen				
arabian kieli				
arabikumi				
arabimaa				
arabisti			5	
arabistiikka		A	9	
arabivaltio				
aralia			12	
aramea			12	
arastaa			53	
arastella			67	
arastelu			2	
arasti			99	
araukaria			12	
arava			10	
aravahuoneisto				
aravalaina				
aravalainoittaa				
aravalainoitteinen				
aravalainoitus				
aravatalo				
arboretum			5	
arboristi			5	
arbuusi			5	
areena			13	
arenti		J	5	
aresti			5	
arestirangaistus				
argon			5	
argumentaatio			3	
argumentoida			62	
argumentointi		J	5	
argumentti		C	5	
arho			1	
arina			13	
aristaa			53	
aristella			67	
aristokraatti		C	5	
aristokraattinen			38	
aristokraattisesti			99	
aristokraattisuus			40	
aristokratia			12	
aristua			52	
aristus			39	
aritmeettinen			38	
aritmetiikka		A	9	
arjalainen			38	
arka		D	9	
arkaainen			38	
arkailla			67	
arkaismi			5	
arkaistinen			38	
arkaistisesti			99	
arkaistisuus			40	
arkajalka				
arkakatseinen				
arkala			12	
arkaluonteinen				
arkaluonteisuus				
arkaluontoinen				
arkanahkainen				
arkeittain			99	
arkeologi			5	
arkeologia			12	
arkeologinen			38	
arkeologisesti			99	
arki		L	7	
arkiajattelu				
arkiaskare				
arkiateria				
arkielämä				
arkihuoli				
arki-ilta				
arkikieli				
arkikielinen				
arkikäyttö				
arkiliikunta				
arkinen			38	
arkiolot				
arkipuku				
arkipyhä				
arkipäivisin				
arkipäivä				
arkipäiväinen				
arkipäiväistyä			52	
arkipäiväistää			53	
arkipäiväisyys			40	
arkirealismi				
arkirealistinen				
arkiruoka				
arkirutiini				
arkisesti			99	
arkisin			99	
arkisto			2	
arkistoaines				
arkistoida			62	
arkistointi		J	5	
arkistokappale				
arkistokelpoinen				
arkistonhoitaja				
arkistopaperi				
arkistotutkimus				
arkistovalokuvaus				
arkistua			52	
arkisuus			40	
arkitodellisuus				
arkittain			99	
arkitunnelma				
arkityyli				
arkiuupumus				
arkivaate				
arkiviikko				
arkki	1	A	5	
arkki	2	A	5	
arkki-	3			
arkkiatri			5	
arkkienkeli				
arkkiherttua				
arkkiherttuatar				
arkkihiippakunta				
arkkikonna				
arkkimandriitta		C	9	
arkkipiispa				
arkkitehdintutkinto				
arkkitehti		F	5	
arkkitehtitoimisto				
arkkitehtoninen			38	
arkkitehtonisesti			99	
arkkitehtuuri			5	
arkkityyppi				
arkkiveisu				
arkkivihollinen				
arkku		A	1	
arkkuhauta				
arkkuhautaus				
arkkupakastin				
arktinen			38	
arkullinen			38	
arkunkansi				
arkuus			40	
armada			9	
armagnac			5	
armahainen			38	
armahdus			39	
armahdusanomus				
armahtaa		F	53	
armahtava			10	
armahtavainen			38	
armainen			38	
armanjakki		A	5	
armas			41	
armastella			67	
armeija			12	
armeijakunta				
armeijaryhmä				
armeliaasti			99	
armeliaisuus			40	
armelias			41	
armias			41	
armo			1	
armoinen			38	
armoitettu		C	1	
armolahja				
armoleipä				
armollinen			38	
armollisesti			99	
armollisuus			40	
armomurha				
armonaika		D	9	
armonanomus				
armonisku				
armonlaukaus				
armopala				
armoton		C	34	
armottomasti			99	
armottomuus			40	
aro			1	
aroeläin				
arokasvi				
aromaattinen			38	
aromaterapia				
aromi			5	
aromikas		A	41	
aromikkuus			40	
aromilasi				
-arominen			38	
aromisuola				
aronia			12	
arovyöhyke				
arpa		E	9	
arpajaiset			38	
arpajaislupa				
arpajaisvoitto				
arpakuutio				
arpalippu				
arpanoppa				
arpaonni				
arpapeli				
arpaseteli				
arpeuma			10	
arpeuttaa		C	53	
arpeutua		F	52	
arpeutuma			10	
arpi		E	7	
arpikudos				
arpinen			38	
arpisuus			40	
arpoa		E	52	
arrakki		A	5	
arrakkipunssi				
arroganssi			5	
arrogantisti			99	
arrogantti		C	5	
arrowjuuri			26	
arrowjuurijauho				
arseeni			6	
arseenihappo				
arsenaali			5	
arsenikki		A	5	
arsenikkimyrkytys				
art director			6	
arteesinen			38	
artefakti			5	
artenomi			5	
arteria			12	
